root	run	checkpoint	weights_path	size_bytes	size_gb	mtime	modified
outputs	qwen3-4b-layer-pool-domino-all36-shared-semantic-ffn-r1024-b8-step3p5-perfectblend-mix-4node-08091011-bs2acc1-epoch4-ar-eval-20260801	epoch_2_step_40000	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-layer-pool-domino-all36-shared-semantic-ffn-r1024-b8-step3p5-perfectblend-mix-4node-08091011-bs2acc1-epoch4-ar-eval-20260801/epoch_2_step_40000/model.safetensors	1175183192	1.094	1785588215	2026-08-01 20:43
outputs	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_4_step_106412	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_4_step_106412/model.safetensors	1526847824	1.422	1785564494	2026-08-01 14:08
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_3_step_105000-20260801-140814	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_3_step_105000-20260801-140814/model.safetensors	1526847824	1.422	1785563835	2026-08-01 13:57
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_3_step_100000-20260801-135716	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_3_step_100000-20260801-135716/model.safetensors	1526847824	1.422	1785561550	2026-08-01 13:19
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_3_step_95000-20260801-131910	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_3_step_95000-20260801-131910/model.safetensors	1526847824	1.422	1785559255	2026-08-01 12:40
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_3_step_90000-20260801-124055	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_3_step_90000-20260801-124055/model.safetensors	1526847824	1.422	1785556961	2026-08-01 12:02
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_3_step_85000-20260801-120241	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_3_step_85000-20260801-120241/model.safetensors	1526847824	1.422	1785554678	2026-08-01 11:24
outputs	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch4-ar-eval-20260731-rerun	epoch_4_step_159620	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch4-ar-eval-20260731-rerun/epoch_4_step_159620/model.safetensors	1122753384	1.046	1785552894	2026-08-01 10:54
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_3_step_80000-20260801-112438	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_3_step_80000-20260801-112438/model.safetensors	1526847824	1.422	1785552400	2026-08-01 10:46
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_2_step_75000-20260801-104640	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_2_step_75000-20260801-104640/model.safetensors	1526847824	1.422	1785550106	2026-08-01 10:08
outputs	qwen3-4b-domino-official-b8-true-step3p5-perfectblend-mix-from-scratch-4node-13141718-32gpu-bs2acc1-epoch4-eval1k-20260731-rerun2	epoch_4_step_79808	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-domino-official-b8-true-step3p5-perfectblend-mix-from-scratch-4node-13141718-32gpu-bs2acc1-epoch4-eval1k-20260731-rerun2/epoch_4_step_79808/model.safetensors	1176507304	1.096	1785548406	2026-08-01 09:40
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_2_step_70000-20260801-100826	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_2_step_70000-20260801-100826/model.safetensors	1526847824	1.422	1785547817	2026-08-01 09:30
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_2_step_65000-20260801-093017	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_2_step_65000-20260801-093017/model.safetensors	1526847824	1.422	1785545528	2026-08-01 08:52
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_2_step_60000-20260801-085208	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_2_step_60000-20260801-085208/model.safetensors	1526847824	1.422	1785543249	2026-08-01 08:14
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_2_step_55000-20260801-081409	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_2_step_55000-20260801-081409/model.safetensors	1526847824	1.422	1785540964	2026-08-01 07:36
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_1_step_50000-20260801-073604	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_1_step_50000-20260801-073604/model.safetensors	1526847824	1.422	1785538677	2026-08-01 06:57
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_1_step_45000-20260801-065757	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_1_step_45000-20260801-065757/model.safetensors	1526847824	1.422	1785536393	2026-08-01 06:19
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_1_step_40000-20260801-061953	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_1_step_40000-20260801-061953/model.safetensors	1526847824	1.422	1785534111	2026-08-01 05:41
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_1_step_35000-20260801-054151	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_1_step_35000-20260801-054151/model.safetensors	1526847824	1.422	1785531833	2026-08-01 05:03
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_1_step_30000-20260801-050353	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_1_step_30000-20260801-050353/model.safetensors	1526847824	1.422	1785529541	2026-08-01 04:25
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_0_step_25000-20260801-042541	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_0_step_25000-20260801-042541/model.safetensors	1526847824	1.422	1785527255	2026-08-01 03:47
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_0_step_20000-20260801-034735	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_0_step_20000-20260801-034735/model.safetensors	1526847824	1.422	1785524974	2026-08-01 03:09
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_0_step_15000-20260801-030934	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_0_step_15000-20260801-030934/model.safetensors	1526847824	1.422	1785522666	2026-08-01 02:31
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_0_step_10000-20260801-023106	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_0_step_10000-20260801-023106/model.safetensors	1526847824	1.422	1785520372	2026-08-01 01:52
/data/guorui/checkpoint-trash	qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731	epoch_0_step_5000-20260801-015252	/data/guorui/checkpoint-trash/qwen3-4b-pool-domino-all36-shared-semantic-ffn-r1024-b8-l7-step3p5-perfectblend-mix-3node-050809-bs2acc1-epoch4-ar-eval-20260731/epoch_0_step_5000-20260801-015252/model.safetensors	1526847824	1.422	1785518090	2026-08-01 01:14
outputs	qwen3-4b-domino-all36-shared-gate-rmsnorm-lowrank-r1024-b8-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch4-ar-eval-fixed-20260730	epoch_3_step_155000	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-domino-all36-shared-gate-rmsnorm-lowrank-r1024-b8-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch4-ar-eval-fixed-20260730/epoch_3_step_155000/model.safetensors	1489565368	1.387	1785464296	2026-07-31 10:18
outputs	qwen3-4b-domino-all36-shared-gate-rmsnorm-lowrank-r1024-b8-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch4-ar-eval-20260730	epoch_0_step_15000	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-domino-all36-shared-gate-rmsnorm-lowrank-r1024-b8-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch4-ar-eval-20260730/epoch_0_step_15000/model.safetensors	1489565368	1.387	1785402528	2026-07-30 17:08
outputs	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch5-20260730-retry3	epoch_2_step_104000	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch5-20260730-retry3/epoch_2_step_104000/model.safetensors	1489565368	1.387	1785388403	2026-07-30 13:13
outputs	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch5-20260730-retry2	epoch_2_step_100000	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch5-20260730-retry2/epoch_2_step_100000/model.safetensors	1489565368	1.387	1785384704	2026-07-30 12:11
outputs	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch5-20260730-retry	epoch_2_step_100000	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-2node-1011-bs2acc1-epoch5-20260730-retry/epoch_2_step_100000/model.safetensors	1489565368	1.387	1785380564	2026-07-30 11:02
outputs	qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729	epoch_2_step_46000	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-domino-all36-draft-layer-gate-independent-rmsnorm-lowrank-r1024-b16-step3p5-perfectblend-mix-4node-051011-bs2acc1-epoch4-eval1k-20260729/epoch_2_step_46000/model.safetensors	1489565368	1.387	1785376135	2026-07-30 09:48
